caso	AAGE	ACLSWKR_C	ADTIND_C	ADTOCC_C	AHGA_C	AHRSPAY	AHSCOL_C	AMARITL_C	AMJIND_C	AMJOCC_C	ARACE_C	AREORGN_C	ASEX_C	AUNMEM_C	AUNTYPE_C	AWKSTAT_C	CAPGAIN	CAPLOSS	DIVVAL	FILESTAT_C	GRINREG_C	GRINST_C	HHDFMX_C	HHDREL_C	MIGMTR1_C	MIGMTR3_C	MIGMTR4_C	MIGSAME_C	MIGSUN_C	NOEMP	PARENT_C	PEFNTVTY_C	PEMNTVTY_C	PENATVTY_C	PRCITSHP_C	SEOTR_C	VETQVA_C	VETYN_C	WKSWORK	Clase
24719	43	9	4	5	7	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
24743	53	6	3	2	13	0	3	7	5	4	5	1	F	9	6	1	0	0	1500	1	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
24752	2	9	4	5	11	0	3	5	7	15	5	2	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	1	1	1	1	0	9	0	0	0
24768	58	5	1	1	10	0	3	3	1	3	5	1	M	9	6	1	7688	0	0	3	6	0	1	5	6	7	8	1	9	1	9	2	2	2	5	0	9	2	50	1
24775	36	1	2	1	10	0	3	3	2	3	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
24810	47	2	2	2	10	0	3	1	4	10	5	1	M	9	6	1	0	0	0	6	6	0	9	6	6	7	8	1	9	6	9	2	2	2	5	1	9	2	52	0
24816	9	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
24836	53	4	2	1	17	0	3	3	2	12	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	52	0
24839	65	9	4	5	17	0	3	3	7	15	5	1	F	9	6	3	0	0	0	2	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
24848	11	9	4	5	11	0	3	5	7	15	5	6	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	4	4	2	5	0	9	0	0	0
24863	15	9	4	5	6	0	3	5	7	15	3	1	F	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	2	0	0
24884	5	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
24898	48	4	2	4	13	0	3	3	3	7	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	1
24902	17	9	4	5	1	0	2	5	7	15	5	1	M	9	6	1	0	0	0	5	4	1	9	3	5	4	6	0	1	0	1	2	2	2	5	0	9	2	0	0
24922	29	5	2	1	3	0	3	5	2	12	5	1	M	9	6	2	0	0	0	6	6	0	9	6	1	1	1	9	8	1	9	1	1	1	1	0	9	2	52	0
24924	14	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
24968	31	4	3	2	7	0	3	3	5	8	5	2	M	9	6	2	2580	0	0	3	6	0	1	5	1	1	1	9	8	1	9	4	4	4	2	0	9	2	30	0
25008	60	2	3	4	17	0	3	7	5	4	5	1	M	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
25024	53	4	2	1	15	0	3	1	3	3	5	1	F	9	6	1	4865	0	0	6	6	0	9	6	6	7	8	1	9	3	9	2	2	2	5	0	9	2	52	0
25027	75	9	4	5	6	0	3	7	7	15	5	1	F	9	6	3	0	0	0	5	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
25028	39	6	3	2	10	0	3	3	5	10	3	1	M	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	1	9	2	2	2	5	0	9	2	52	0
25045	12	9	4	5	11	0	3	5	7	15	5	6	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	4	4	4	1	0	9	0	0	0
25047	37	4	2	3	9	1173	3	3	3	6	5	1	M	1	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	6	9	2	2	2	5	0	9	2	51	0
25049	52	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	3	0
25067	33	7	2	6	15	0	3	5	4	10	3	1	F	9	6	1	0	0	0	6	4	1	2	5	8	8	9	0	1	6	9	2	2	2	5	0	9	2	52	0
25081	31	7	3	2	13	0	3	3	5	14	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
25095	38	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	200	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
25101	1	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
25123	9	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	2	2	2	5	0	9	0	0	0
25126	36	9	4	5	8	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	1	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25178	10	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
25209	40	4	2	3	1	0	3	1	3	14	5	1	M	9	6	2	0	0	0	6	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	42	0
25213	45	2	2	2	10	0	3	1	4	10	5	1	F	9	6	1	0	0	1000	1	6	0	1	5	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
25217	16	4	3	4	1	0	2	5	6	7	5	1	M	9	6	1	0	0	0	6	6	0	9	3	6	7	8	1	9	5	1	2	2	2	5	0	9	2	26	0
25222	30	9	4	5	13	0	3	5	7	15	5	1	M	9	6	3	0	0	0	5	6	0	9	7	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
25228	32	4	2	2	13	0	3	3	4	11	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	3	9	2	2	2	5	2	9	2	48	0
25232	31	4	3	4	17	0	3	7	5	1	5	1	F	0	6	1	0	0	0	1	4	1	1	5	5	6	6	0	1	3	9	2	2	2	5	0	9	2	35	0
25248	71	9	4	5	17	0	3	7	7	15	5	1	F	9	6	1	0	0	0	5	5	1	2	5	8	8	9	0	0	0	9	2	2	2	5	0	9	2	0	0
25251	41	4	3	1	10	0	3	3	5	3	5	1	M	9	6	2	7688	0	500	3	6	0	1	5	1	1	1	9	8	3	9	2	2	2	5	0	9	2	52	1
25295	83	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	2	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25307	44	4	2	3	13	1363	3	5	2	1	5	1	F	0	6	1	0	0	100	6	6	0	2	5	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
25326	0	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	10	9	10	9	9	0	1	2	2	2	5	0	9	0	0	0
25327	40	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
25364	5	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	3	1	2	5	0	9	0	0	0
25381	12	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	2	2	2	5	0	9	0	0	0
25383	48	6	3	3	10	0	3	3	6	1	5	1	M	9	6	2	0	0	0	5	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
25407	37	4	1	6	10	0	3	3	2	13	2	1	M	9	6	2	7688	0	0	3	6	0	1	5	1	1	1	9	8	4	9	3	3	3	2	0	9	2	52	0
25433	40	4	2	4	17	0	3	5	3	5	3	1	M	9	6	1	0	0	0	5	6	0	9	1	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25454	34	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25475	25	4	3	4	6	0	3	3	5	4	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	2	9	2	2	2	5	0	9	2	52	1
25482	16	9	4	5	2	0	2	5	7	15	5	1	M	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	1	1	2	5	0	9	2	0	0
25500	13	9	4	5	11	0	3	5	7	15	1	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
25524	29	4	5	3	6	475	3	1	2	6	5	1	F	0	6	5	0	0	0	6	6	0	9	6	1	1	1	9	8	5	9	2	2	2	5	1	9	2	52	0
25537	41	1	2	6	17	0	3	3	3	1	3	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	6	9	2	2	2	5	0	9	2	52	0
25647	54	9	4	5	14	0	3	3	7	15	5	6	F	9	6	3	0	0	0	5	6	0	3	8	1	1	1	9	8	0	9	4	4	4	1	0	9	2	0	0
25652	15	6	2	4	6	0	3	5	4	7	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	1	1	2	2	2	5	0	9	2	10	0
25658	8	9	4	5	11	0	3	5	7	15	3	2	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	4	4	2	5	0	9	0	0	0
25659	40	5	2	1	8	0	3	3	4	3	5	1	F	9	6	1	0	0	68	3	6	0	1	5	6	7	8	1	9	3	9	2	2	2	5	0	9	2	50	0
25730	16	9	4	5	7	0	2	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	2	0	0
25740	70	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	2	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	2	1	0	0
25755	32	4	2	1	8	0	3	3	3	10	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	6	9	1	1	1	1	0	9	2	52	0
25756	1	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
25764	68	9	4	5	13	0	3	7	7	15	5	1	F	9	6	1	0	0	0	5	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25804	8	9	4	5	11	0	3	5	7	15	4	7	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
25819	2	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
25831	33	7	2	4	13	0	3	3	4	7	3	1	M	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
25876	50	9	4	5	13	0	3	3	7	15	3	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
25909	1	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	6	1	1	1	9	8	0	9	2	2	2	5	0	9	0	0	0
25931	44	4	1	1	10	0	3	1	1	3	5	1	F	9	6	2	0	0	0	1	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	2	9	2	52	0
25953	9	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
25964	28	4	5	1	10	0	3	5	3	12	5	1	M	9	6	2	0	0	0	6	6	0	2	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
25967	78	9	4	5	13	0	3	7	7	15	5	1	F	9	6	3	0	0	0	6	6	0	2	5	1	1	1	9	8	0	9	3	3	2	5	0	9	2	0	0
25971	25	4	2	2	13	0	3	5	4	8	5	1	M	9	6	1	0	0	0	6	6	0	9	7	6	7	8	1	9	2	9	2	2	2	5	0	9	2	48	0
25975	46	4	3	3	13	0	3	3	5	1	5	6	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	1	9	4	4	4	2	0	9	2	52	0
26011	25	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	4	9	2	2	2	5	0	9	2	2	0
26029	1	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
26046	14	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
26061	43	2	2	2	15	0	3	3	4	10	5	1	M	9	6	1	15024	0	0	3	6	0	1	5	6	7	8	1	9	6	9	2	2	2	5	0	9	2	40	1
26107	25	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	5	1	3	8	4	8	9	0	1	0	9	2	2	2	5	0	9	2	0	0
26135	55	2	1	2	13	1300	3	3	2	10	5	1	F	0	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	6	9	2	2	2	5	0	9	2	46	0
26145	52	6	1	2	17	0	3	5	1	10	5	1	F	9	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	1	9	2	2	2	5	2	9	2	52	0
26150	33	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	1	2	2	5	0	9	2	0	0
26151	48	9	4	5	17	0	3	1	7	15	5	1	F	9	6	3	0	0	0	5	6	0	9	6	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
26166	82	9	4	5	2	0	3	3	7	15	5	1	M	9	6	3	0	0	0	5	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
26183	53	4	2	4	4	0	3	3	3	7	5	6	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	6	9	4	4	4	1	0	9	2	52	0
26209	16	9	4	5	1	0	2	5	7	15	4	6	F	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	4	4	2	5	0	9	2	0	0
26273	45	6	1	1	13	0	3	3	2	3	2	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	1	1	1	1	0	9	2	0	0
26274	20	4	3	4	13	0	3	4	6	5	5	1	F	9	6	2	0	0	0	6	6	0	9	6	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	0
26336	3	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
26352	1	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	6	1	1	1	9	8	0	9	2	2	2	5	0	9	0	0	0
26366	17	9	4	5	1	0	2	5	7	15	5	1	M	9	6	1	0	0	0	6	6	0	9	3	6	7	8	1	9	2	3	2	2	2	5	0	9	2	18	0
26387	17	9	4	5	1	0	2	5	7	15	5	1	M	9	6	3	0	1602	0	6	6	0	9	7	1	1	1	9	8	0	3	2	2	2	5	0	9	2	0	0
26438	45	6	1	2	10	0	3	1	1	10	5	1	M	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	1	9	2	2	2	5	0	9	2	52	0
26445	30	9	4	5	13	0	3	5	7	15	5	1	M	9	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	1	9	2	2	2	5	0	9	2	16	0
26453	63	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
26476	42	2	2	2	10	0	3	3	4	10	5	1	F	9	6	1	0	0	50	3	6	0	3	8	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
26480	60	9	4	5	17	0	3	3	7	15	5	8	F	9	6	1	0	0	0	4	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
26492	56	4	3	2	13	0	3	5	5	4	5	9	M	0	6	1	0	0	0	6	6	0	9	4	6	7	8	1	9	2	9	1	1	1	1	0	9	2	52	1
26495	0	9	4	5	11	0	3	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	7	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
26514	2	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
26524	45	5	2	1	13	0	3	3	2	12	5	1	M	9	6	4	0	0	3000	3	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	52	0
26541	73	9	4	5	5	0	3	3	7	15	5	10	F	9	6	1	0	0	0	5	6	0	3	8	6	7	8	1	9	0	9	4	4	4	4	0	9	2	0	0
26592	60	4	5	2	17	0	3	1	2	8	5	1	M	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	4	9	2	2	2	5	0	9	2	52	0
26597	40	4	5	1	10	0	3	3	1	3	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	2	9	2	2	2	5	0	9	2	52	0
26657	38	9	4	5	13	0	3	1	7	15	5	1	F	9	6	3	0	0	0	5	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
26686	47	4	1	2	9	0	3	3	1	10	5	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	52	0
26714	40	4	3	3	13	400	3	5	6	12	5	1	F	0	6	1	0	0	0	6	6	0	9	1	6	7	8	1	9	3	9	2	2	2	5	0	9	2	52	0
26739	53	4	3	6	17	0	3	3	3	1	5	1	M	9	6	2	0	1977	49	3	6	0	1	5	1	1	1	9	8	4	9	2	2	2	5	0	9	2	52	0
26746	61	6	2	3	15	0	3	3	2	1	5	1	M	9	6	2	0	1902	9000	3	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	40	1
26770	51	6	2	1	13	0	3	1	2	12	5	1	M	9	6	1	0	0	0	6	5	1	2	5	5	3	3	0	0	1	9	2	2	2	5	0	9	2	52	0
26773	38	4	2	1	8	0	3	3	3	10	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	3	9	2	2	2	5	0	9	2	52	0
26823	65	6	3	2	9	0	3	3	5	4	5	1	M	9	6	2	0	0	0	4	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	2	9	2	52	0
26829	37	9	4	5	2	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
26833	45	7	3	2	13	0	3	3	5	14	5	7	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	4	2	2	5	0	9	2	52	0
26852	27	9	4	5	13	0	3	3	7	15	5	1	F	9	6	3	0	0	0	3	6	0	3	8	1	1	1	9	8	0	9	2	2	1	3	0	9	2	0	0
26857	45	4	3	4	13	0	3	3	7	7	2	1	M	9	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	3	3	3	2	0	9	2	52	0
26858	36	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	3	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
26867	61	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
26887	16	9	4	5	1	0	2	5	7	15	3	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	2	0	0
26897	20	4	5	3	6	0	3	5	3	6	4	6	F	9	6	1	0	0	0	5	4	1	9	7	8	5	6	0	1	0	9	4	4	4	2	0	9	2	0	0
26937	50	4	5	2	4	0	3	4	2	8	5	6	M	9	4	1	0	0	0	1	6	0	1	5	6	7	8	1	9	2	9	1	1	2	5	0	9	2	40	0
26953	42	4	2	2	10	0	3	3	3	10	5	1	F	0	6	6	0	0	0	3	6	0	3	8	1	1	1	9	8	4	9	2	2	2	5	0	9	2	52	0
26955	65	9	4	5	2	0	3	1	7	15	3	1	F	9	6	1	0	0	0	5	6	0	2	5	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
26961	42	7	2	3	15	0	3	3	4	1	1	1	M	9	6	1	0	0	25	3	6	0	1	5	6	7	8	1	9	2	9	2	2	2	5	0	9	2	52	0
26967	26	4	2	4	17	0	3	5	2	5	3	1	M	9	6	1	0	0	0	6	6	0	9	7	6	7	8	1	9	3	9	1	1	1	1	0	9	2	26	0
26971	47	4	3	4	2	0	3	1	6	7	5	8	F	9	6	1	0	0	0	6	6	0	1	5	6	7	8	1	9	2	9	2	2	2	5	0	9	2	32	0
26984	6	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
26991	11	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	2	2	2	5	0	9	0	0	0
27009	56	4	1	1	13	0	3	3	2	3	5	1	F	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	1	9	2	2	2	5	0	9	2	52	1
27108	17	9	4	5	1	0	2	5	7	15	3	1	M	9	6	1	0	0	0	5	6	0	9	6	6	7	8	1	9	0	3	2	2	2	5	0	9	2	0	0
27115	13	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
27123	4	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
27126	34	4	1	2	10	0	3	3	1	8	5	1	M	0	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	6	9	2	2	2	5	0	9	2	52	1
27148	11	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
27172	24	4	3	2	17	0	3	3	5	8	5	1	M	0	6	2	0	0	0	3	6	0	1	5	1	1	1	9	8	1	9	2	2	2	5	0	9	2	51	0
27187	67	9	4	5	13	0	3	3	7	15	5	1	M	9	6	1	0	0	0	4	6	0	9	7	6	7	8	1	9	0	9	1	1	2	5	0	9	2	0	0
27196	25	5	3	1	13	0	3	3	6	12	5	1	M	9	6	1	0	0	0	3	6	0	1	5	6	7	8	1	9	1	9	1	1	1	1	0	9	2	52	0
27202	36	9	4	5	5	0	3	3	7	15	5	6	F	9	6	3	0	0	0	3	6	0	1	5	1	1	1	9	8	0	9	4	4	4	1	0	9	2	0	0
27205	20	9	4	5	17	0	1	5	7	15	3	1	F	9	6	1	0	0	0	5	6	0	9	1	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
27210	29	4	2	3	8	0	3	3	3	6	5	1	M	9	6	2	0	0	0	3	6	0	3	8	1	1	1	9	8	2	9	2	2	2	5	0	9	2	52	0
27230	4	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	5	1	9	3	4	8	9	0	0	0	1	2	1	2	5	0	9	0	0	0
27236	14	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
27258	63	9	4	5	13	0	3	3	7	15	5	1	F	9	6	1	0	0	0	4	6	0	3	8	6	7	8	1	9	0	9	2	2	2	5	0	9	2	0	0
27264	4	9	4	5	11	0	3	5	7	15	5	7	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	3	2	2	2	5	0	9	0	0	0
27283	61	4	2	3	13	0	3	1	3	14	5	1	M	9	6	1	0	0	0	6	6	0	2	5	6	7	8	1	9	1	9	2	2	2	5	2	9	2	40	0
27317	45	2	2	6	13	0	3	3	2	10	3	1	F	9	6	1	0	0	0	3	4	1	3	8	4	6	6	0	1	6	9	2	2	2	5	0	9	2	52	0
27335	5	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	3	1	9	3	4	8	9	0	0	0	1	2	2	2	5	0	9	0	0	0
27370	7	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
27372	7	9	4	5	11	0	3	5	7	15	5	1	M	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
27375	3	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	0	0	0
27381	19	4	3	4	13	0	3	5	6	5	5	1	F	1	6	2	0	0	0	1	6	0	9	1	1	1	1	9	8	6	9	2	2	2	5	2	9	2	28	0
27384	33	4	3	2	13	0	3	5	7	8	3	1	M	9	5	1	0	0	0	5	4	1	9	1	4	8	9	0	1	0	9	2	2	2	5	0	9	2	0	0
27408	76	9	4	5	17	0	3	3	7	15	5	1	M	9	6	3	0	0	0	2	6	0	1	5	1	1	1	9	8	2	9	1	2	2	5	0	9	2	52	0
27413	65	9	4	5	17	0	3	3	7	15	5	1	F	9	6	3	0	0	0	5	6	0	3	8	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
27423	1	9	4	5	11	0	3	5	7	15	1	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	1	2	2	2	5	0	9	0	0	0
27424	24	4	3	1	17	0	3	5	6	12	5	1	M	9	6	2	0	0	0	6	6	0	2	5	1	1	1	9	8	2	9	2	2	2	5	0	9	2	52	0
27470	16	9	4	5	7	0	2	5	7	15	5	1	M	9	6	3	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	2	2	2	5	0	9	2	0	0
27511	6	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	6	7	8	1	9	0	3	2	2	2	5	0	9	0	0	0
27523	0	9	4	5	11	0	3	5	7	15	5	1	F	9	6	1	0	0	0	5	6	0	9	3	10	9	10	9	9	0	1	2	2	2	5	0	9	0	0	0
27527	63	9	4	5	15	0	3	5	7	15	5	1	F	9	6	3	0	0	0	6	6	0	2	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
27528	33	4	3	4	13	0	3	3	6	7	3	1	M	9	5	1	0	0	0	3	4	1	1	5	4	4	6	0	1	6	9	2	2	2	5	0	9	2	45	0
27531	70	9	4	5	13	0	3	3	7	15	3	1	M	9	6	3	0	0	0	2	6	0	1	5	1	1	1	9	8	0	9	2	2	2	5	0	9	2	0	0
27537	32	4	2	4	13	708	3	1	3	7	3	1	F	0	6	1	0	0	0	1	2	1	9	6	4	8	9	0	0	6	9	2	2	2	5	2	9	2	52	0
27559	7	9	4	5	11	0	3	5	7	15	2	1	M	9	6	1	0	0	0	5	6	0	9	3	1	1	1	9	8	0	1	3	3	2	5	0	9	0	0	0
